date,day_of_week,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,net_pnl,cumulative_pnl,max_open_positions,first_trade_time,last_trade_time,data_period
2017-12-15,Friday,6,4,1,1,1,5,16.7,-296.04,-296.04,3,2017-12-15 10:30:00,2017-12-15 15:15:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-18,Monday,5,3,1,1,1,4,20.0,-83.70,-379.74,3,2017-12-18 09:45:00,2017-12-18 12:45:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-19,Tuesday,6,3,1,2,3,3,50.0,-87.54,-467.28,3,2017-12-19 09:45:00,2017-12-19 12:15:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-20,Wednesday,5,3,1,1,3,2,60.0,-40.20,-507.48,3,2017-12-20 09:45:00,2017-12-20 13:30:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-21,Thursday,6,2,1,3,3,3,50.0,17.46,-490.02,3,2017-12-21 09:45:00,2017-12-21 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-22,Friday,2,1,1,0,1,1,50.0,-118.68,-608.70,3,2017-12-22 09:45:00,2017-12-22 14:30:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-26,Tuesday,5,2,1,2,1,4,20.0,-188.70,-797.40,3,2017-12-26 09:30:00,2017-12-26 12:45:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-27,Wednesday,6,3,1,2,4,2,66.7,-0.54,-797.94,3,2017-12-27 09:30:00,2017-12-27 15:00:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-28,Thursday,3,1,1,1,0,3,0.0,-82.02,-879.96,3,2017-12-28 10:15:00,2017-12-28 14:15:00,"2018-2019 (NQ, pre-MNQ)"
2017-12-29,Friday,7,2,1,4,3,4,42.9,-250.38,-1130.34,3,2017-12-29 09:30:00,2017-12-29 15:45:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-02,Tuesday,7,5,1,1,3,4,42.9,435.12,-695.22,3,2018-01-02 09:30:00,2018-01-02 15:30:00,"2018-2019 (NQ, pre-MNQ)"
2018-01-03,Wednesday,6,4,1,1,2,4,33.3,74.46,-620.76,3,2018-01-03 09:30:00,2018-01-03 13:00:00,"2018-2019 (NQ, pre-MNQ)"
