month,total_trades,rsi_trades,ib_trades,mom_trades,winners,losers,win_rate,gross_pnl,total_costs,net_pnl,cumulative_pnl,best_trade,worst_trade,avg_trade,median_trade,best_day,worst_day,trading_days,avg_trades_per_day,max_consecutive_wins,max_consecutive_losses,avg_bars_held,data_period,validation_status
2017-12,51,24,10,17,20,31,39.2,-552.00,578.34,-1130.34,-1130.34,182.16,-134.34,-22.16,-29.34,17.46,-296.04,10,5.1,2,7,5.0,"2018-2019 (NQ, pre-MNQ)",blind
2018-01,129,71,18,40,42,87,32.6,268.50,1462.86,-1194.36,-2324.70,342.66,-134.34,-9.26,-54.84,435.12,-447.36,22,5.9,4,10,4.3,"2018-2019 (NQ, pre-MNQ)",blind
2018-02,137,81,9,47,35,102,25.5,456.00,1553.58,-1097.58,-3422.28,585.66,-134.34,-8.01,-104.34,922.26,-626.04,20,6.8,3,12,2.8,"2018-2019 (NQ, pre-MNQ)",blind
2018-03,135,74,9,52,41,94,30.4,1522.50,1530.90,-8.40,-3430.68,585.66,-134.34,-0.06,-104.34,713.10,-590.88,21,6.4,4,9,3.0,"2018-2019 (NQ, pre-MNQ)",blind
2018-04,136,75,11,50,39,97,28.7,187.50,1542.24,-1354.74,-4785.42,585.66,-134.34,-9.96,-104.34,536.28,-681.72,21,6.5,2,10,3.0,"2018-2019 (NQ, pre-MNQ)",blind
2018-05,129,64,10,55,49,80,38.0,342.00,1462.86,-1120.86,-5906.28,483.66,-134.34,-8.69,-104.34,588.30,-451.38,23,5.6,4,7,3.8,"2018-2019 (NQ, pre-MNQ)",blind
2018-06,119,67,9,43,40,79,33.6,-921.00,1349.46,-2270.46,-8176.74,525.66,-134.34,-19.08,-104.34,948.60,-1075.74,21,5.7,4,19,3.7,"2018-2019 (NQ, pre-MNQ)",blind
2018-07,126,68,9,49,44,82,34.9,514.50,1428.84,-914.34,-9091.08,585.66,-134.34,-7.26,-83.34,626.46,-336.72,22,5.7,3,7,3.8,"2018-2019 (NQ, pre-MNQ)",blind
2018-08,126,63,13,50,45,81,35.7,-588.00,1428.84,-2016.84,-11107.92,425.16,-134.34,-16.01,-104.34,432.96,-604.56,23,5.5,3,7,3.9,"2018-2019 (NQ, pre-MNQ)",blind
2018-09,103,51,6,46,37,66,35.9,-1012.50,1168.02,-2180.52,-13288.44,401.16,-134.34,-21.17,-104.34,231.48,-427.38,20,5.2,2,5,3.4,"2018-2019 (NQ, pre-MNQ)",blind
2018-10,147,84,7,56,44,103,29.9,5032.50,1666.98,3365.52,-9922.92,585.66,-134.34,22.89,-104.34,1967.10,-699.90,23,6.4,3,11,2.5,"2018-2019 (NQ, pre-MNQ)",blind
2018-11,136,70,8,58,39,97,28.7,1462.50,1542.24,-79.74,-10002.66,585.66,-134.34,-0.59,-104.34,912.30,-656.04,22,6.2,2,11,2.8,"2018-2019 (NQ, pre-MNQ)",blind
