strategy,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl,bars_held
IB,SHORT,2026-01-02 10:15:00-05:00,25603.25,2026-01-02 10:30:00-05:00,25483.75,take_profit,705.66,1
RSI,LONG,2026-01-02 11:30:00-05:00,25376.50,2026-01-02 11:45:00-05:00,25361.00,stop_loss,-104.34,1
RSI,LONG,2026-01-02 12:00:00-05:00,25341.75,2026-01-02 12:45:00-05:00,25326.25,stop_loss,-104.34,3
RSI,LONG,2026-01-02 13:00:00-05:00,25324.00,2026-01-02 13:15:00-05:00,25308.50,stop_loss,-104.34,1
RSI,LONG,2026-01-02 13:30:00-05:00,25333.25,2026-01-02 13:45:00-05:00,25317.75,stop_loss,-104.34,1
RSI,LONG,2026-01-02 14:00:00-05:00,25295.00,2026-01-02 14:15:00-05:00,25394.50,take_profit,585.66,1
RSI,SHORT,2026-01-05 09:45:00-05:00,25601.75,2026-01-05 10:00:00-05:00,25617.25,stop_loss,-104.34,1
RSI,SHORT,2026-01-05 10:15:00-05:00,25639.00,2026-01-05 10:30:00-05:00,25654.50,stop_loss,-104.34,1
IB,LONG,2026-01-05 10:30:00-05:00,25674.75,2026-01-05 10:45:00-05:00,25654.25,stop_loss,-134.34,1
RSI,SHORT,2026-01-05 10:45:00-05:00,25640.50,2026-01-05 11:00:00-05:00,25656.00,stop_loss,-104.34,1
RSI,SHORT,2026-01-05 11:15:00-05:00,25672.25,2026-01-05 11:30:00-05:00,25687.75,stop_loss,-104.34,1
MOM,LONG,2026-01-05 10:15:00-05:00,25640.00,2026-01-05 11:30:00-05:00,25680.00,max_hold,228.66,5
RSI,SHORT,2026-01-05 11:45:00-05:00,25680.00,2026-01-05 13:00:00-05:00,25598.25,max_hold,479.16,5
MOM,SHORT,2026-01-06 09:30:00-05:00,25635.50,2026-01-06 09:45:00-05:00,25651.00,stop_loss,-104.34,1
RSI,SHORT,2026-01-06 09:45:00-05:00,25665.75,2026-01-06 10:00:00-05:00,25681.25,stop_loss,-104.34,1
MOM,LONG,2026-01-06 10:00:00-05:00,25753.50,2026-01-06 10:15:00-05:00,25738.00,stop_loss,-104.34,1
RSI,SHORT,2026-01-06 10:15:00-05:00,25753.50,2026-01-06 10:30:00-05:00,25769.00,stop_loss,-104.34,1
IB,LONG,2026-01-06 10:15:00-05:00,25754.50,2026-01-06 10:30:00-05:00,25734.00,stop_loss,-134.34,1
RSI,SHORT,2026-01-06 12:45:00-05:00,25768.00,2026-01-06 13:30:00-05:00,25783.50,stop_loss,-104.34,3
RSI,SHORT,2026-01-06 13:45:00-05:00,25783.00,2026-01-06 14:00:00-05:00,25798.50,stop_loss,-104.34,1
RSI,SHORT,2026-01-06 14:15:00-05:00,25807.00,2026-01-06 15:15:00-05:00,25822.50,stop_loss,-104.34,4
RSI,SHORT,2026-01-06 15:30:00-05:00,25809.50,2026-01-06 15:45:00-05:00,25825.00,stop_loss,-104.34,1
RSI,SHORT,2026-01-07 09:45:00-05:00,25854.00,2026-01-07 10:00:00-05:00,25869.50,stop_loss,-104.34,1
MOM,LONG,2026-01-07 09:45:00-05:00,25855.00,2026-01-07 10:00:00-05:00,25839.50,stop_loss,-104.34,1
RSI,SHORT,2026-01-07 10:15:00-05:00,25859.00,2026-01-07 10:30:00-05:00,25874.50,stop_loss,-104.34,1
MOM,LONG,2026-01-07 10:15:00-05:00,25860.00,2026-01-07 10:30:00-05:00,25844.50,stop_loss,-104.34,1
RSI,SHORT,2026-01-07 11:00:00-05:00,25905.00,2026-01-07 11:15:00-05:00,25920.50,stop_loss,-104.34,1
MOM,LONG,2026-01-07 11:00:00-05:00,25906.00,2026-01-07 11:15:00-05:00,25890.50,stop_loss,-104.34,1
